Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T030_001,SE_T030_002,SE_T030_003,PCT_SE_T030_002,PCT_SE_T030_003,SE_T033_001,SE_T033_002,SE_T033_003,SE_T033_004,SE_T033_005,SE_T033_006,SE_T033_007,PCT_SE_T033_002,PCT_SE_T033_003,PCT_SE_T033_004,PCT_SE_T033_005,PCT_SE_T033_006,PCT_SE_T033_007,SE_T057_001,SE_T083_001,SE_T093_001,SE_T099_001,SE_T099_002,SE_T099_003,SE_T099_004,SE_T099_005,SE_T099_006,SE_T099_007,SE_T099_008,PCT_SE_T099_002,PCT_SE_T099_003,PCT_SE_T099_004,PCT_SE_T099_005,PCT_SE_T099_006,PCT_SE_T099_007,PCT_SE_T099_008,SE_T104_001,SE_T106_001,SE_T114_001,SE_T114_002,SE_T114_003,PCT_SE_T114_002,PCT_SE_T114_003,SE_T115_001,SE_T115_002,SE_T115_003,PCT_SE_T115_002,PCT_SE_T115_003,SE_T116_001,SE_T116_002,SE_T116_003,PCT_SE_T116_002,PCT_SE_T116_003
"41041","05000US41041","Lincoln County, Oregon","Lincoln County, Oregon","OR","050","00","ACSSF","0000033",,,,,"41","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45933,2087,190,1897,9.1,90.9,38907,21734,56,21678,19574,2104,17173,55.86,0.14,55.72,50.31,5.41,44.14,41764,24799,30383,20769,4828,12943,284,2487,0,167,60,23.25,62.32,1.37,11.97,0,0.8,0.29,731,715.040825096691,7976,1778,6198,22.29,77.71,27734,4719,23015,17.02,82.98,9697,851,8846,8.78,91.22
"41043","05000US41043","Linn County, Oregon","Linn County, Oregon","OR","050","00","ACSSF","0000034",,,,,"41","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115776,6101,339,5762,5.56,94.44,90645,54131,206,53925,49335,4590,36514,59.72,0.23,59.49,54.43,5.06,40.28,46872,22255,48461,44787,17508,21489,764,4481,0,460,85,39.09,47.98,1.71,10.01,0,1.03,0.19,756,771.343606380103,27621,6704,20917,24.27,75.73,69613,10244,59369,14.72,85.28,17262,1312,15950,7.6,92.4
"41045","05000US41045","Malheur County, Oregon","Malheur County, Oregon","OR","050","00","ACSSF","0000035",,,,,"41","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31280,1734,171,1563,9.86,90.14,24061,13049,14,13035,11433,1602,11012,54.23,0.06,54.17,47.52,6.66,45.77,39013,16703,11686,10243,3919,4669,659,882,0,104,10,38.26,45.58,6.43,8.61,0,1.02,0.1,584,516.491028197095,7825,2344,5481,29.96,70.04,16037,3623,12414,22.59,77.41,4417,437,3980,9.89,90.11
"41047","05000US41047","Marion County, Oregon","Marion County, Oregon","OR","050","00","ACSSF","0000036",,,,,"41","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313020,18669,1488,17181,7.97,92.03,239649,151309,284,151025,133653,17372,88340,63.14,0.12,63.02,55.77,7.25,36.86,46191,22192,120482,112841,50152,53757,2779,5431,32,482,208,44.44,47.64,2.46,4.81,0.03,0.43,0.18,761,821.013801870517,81117,21283,59834,26.24,73.76,183600,28490,155110,15.52,84.48,38984,2733,36251,7.01,92.99
"41049","05000US41049","Morrow County, Oregon","Morrow County, Oregon","OR","050","00","ACSSF","0000037",,,,,"41","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11107,724,5,719,0.69,99.31,8417,5302,0,5302,4737,565,3115,62.99,0,62.99,56.28,6.71,37.01,46110,20215,4445,3855,575,2411,318,532,0,13,6,14.92,62.54,8.25,13.8,0,0.34,0.16,667,639.669421487603,3166,742,2424,23.44,76.56,6562,1001,5561,15.25,84.75,1350,71,1279,5.26,94.74
"41051","05000US41051","Multnomah County, Oregon","Multnomah County, Oregon","OR","050","00","ACSSF","0000038",,,,,"41","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724803,33796,2199,31597,6.51,93.49,591781,411331,397,410934,371276,39658,180450,69.51,0.07,69.44,62.74,6.7,30.49,50726,29544,322567,302224,151982,121470,21122,4583,83,1930,1054,50.29,40.19,6.99,1.52,0.03,0.64,0.35,858,917.866644987732,146565,32888,113677,22.44,77.56,490006,76303,413703,15.57,84.43,74077,8275,65802,11.17,88.83
"41053","05000US41053","Polk County, Oregon","Polk County, Oregon","OR","050","00","ACSSF","0000039",,,,,"41","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74734,4891,96,4795,1.96,98.04,58631,35488,45,35443,32355,3088,23143,60.53,0.08,60.45,55.18,5.27,39.47,52865,24794,30044,28111,11609,13284,848,2087,10,185,88,41.3,47.26,3.02,7.42,0.04,0.66,0.31,749,802.690680264728,17835,2882,14953,16.16,83.84,44122,5488,38634,12.44,87.56,11082,880,10202,7.94,92.06
"41055","05000US41055","Sherman County, Oregon","Sherman County, Oregon","OR","050","00","ACSSF","0000040",,,,,"41","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1908,84,3,81,3.57,96.43,1551,909,0,909,834,75,642,58.61,0,58.61,53.77,4.84,41.39,46453,24123,956,835,51,504,141,113,0,20,6,6.11,60.36,16.89,13.53,0,2.4,0.72,675,447.857142857143,376,130,246,34.57,65.43,1122,183,939,16.31,83.69,382,36,346,9.42,90.58
"41057","05000US41057","Tillamook County, Oregon","Tillamook County, Oregon","OR","050","00","ACSSF","0000041",,,,,"41","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25249,1221,64,1157,5.24,94.76,20880,11670,34,11636,10764,872,9210,55.89,0.16,55.73,51.55,4.18,44.11,41400,22706,18233,10892,359,8026,257,2096,13,106,35,3.3,73.69,2.36,19.24,0.12,0.97,0.32,727,678.166869671133,4888,1332,3556,27.25,72.75,14392,2507,11885,17.42,82.58,5095,443,4652,8.69,91.31
"41059","05000US41059","Umatilla County, Oregon","Umatilla County, Oregon","OR","050","00","ACSSF","0000042",,,,,"41","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75344,4572,426,4146,9.32,90.68,57633,36209,39,36170,32735,3435,21424,62.83,0.07,62.76,56.8,5.96,37.17,45911,20904,29660,26805,9450,14111,765,2190,0,229,60,35.25,52.64,2.85,8.17,0,0.85,0.22,639,646.890703517588,19676,4076,15600,20.72,79.28,42646,5812,36834,13.63,86.37,9238,671,8567,7.26,92.74
"41061","05000US41061","Union County, Oregon","Union County, Oregon","OR","050","00","ACSSF","0000043",,,,,"41","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25573,1692,72,1620,4.26,95.74,20607,11961,4,11957,11030,927,8646,58.04,0.02,58.02,53.53,4.5,41.96,40974,22359,11438,10411,5734,2665,305,1634,7,55,11,55.08,25.6,2.93,15.69,0.07,0.53,0.11,632,609.5909342178,5617,1236,4381,22,78,15251,2540,12711,16.65,83.35,4112,381,3731,9.27,90.73
"41063","05000US41063","Wallowa County, Oregon","Wallowa County, Oregon","OR","050","00","ACSSF","0000044",,,,,"41","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6949,302,28,274,9.27,90.73,5870,3344,0,3344,2971,373,2526,56.97,0,56.97,50.61,6.35,43.03,39556,22813,4100,3046,640,744,645,973,6,22,16,21.01,24.43,21.18,31.94,0.2,0.72,0.53,642,534.334203655352,1234,245,989,19.85,80.15,4106,705,3401,17.17,82.83,1554,148,1406,9.52,90.48
"41065","05000US41065","Wasco County, Oregon","Wasco County, Oregon","OR","050","00","ACSSF","0000045",,,,,"41","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24910,1327,279,1048,21.02,78.98,20027,12137,23,12114,11274,840,7890,60.6,0.11,60.49,56.29,4.19,39.4,43742,23246,11411,9857,1510,6924,161,1047,3,172,40,15.32,70.24,1.63,10.62,0.03,1.74,0.41,698,719.589495925143,5343,1168,4175,21.86,78.14,14839,3260,11579,21.97,78.03,4117,287,3830,6.97,93.03
"41067","05000US41067","Washington County, Oregon","Washington County, Oregon","OR","050","00","ACSSF","0000046",,,,,"41","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524275,26477,1679,24798,6.34,93.66,404228,285115,260,284855,260525,24330,119113,70.53,0.06,70.47,64.45,6.02,29.47,63814,31165,211045,198593,106934,84135,2538,4406,32,316,232,53.85,42.37,1.28,2.22,0.02,0.16,0.12,927,977.851882543204,132485,17999,114486,13.59,86.41,335109,32180,302929,9.6,90.4,50987,3672,47315,7.2,92.8
"41069","05000US41069","Wheeler County, Oregon","Wheeler County, Oregon","OR","050","00","ACSSF","0000047",,,,,"41","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1238,41,0,41,0,100,1060,538,0,538,499,39,522,50.75,0,50.75,47.08,3.68,49.25,34338,23050,868,601,37,194,129,233,0,6,2,6.16,32.28,21.46,38.77,0,1,0.33,579,323.566878980892,206,30,176,14.56,85.44,603,99,504,16.42,83.58,405,24,381,5.93,94.07
"41071","05000US41071","Yamhill County, Oregon","Yamhill County, Oregon","OR","050","00","ACSSF","0000048",,,,,"41","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98293,6253,216,6037,3.45,96.55,76431,49565,96,49469,44915,4554,26866,64.85,0.13,64.72,58.77,5.96,35.15,53819,23759,36831,33804,8958,20962,575,3003,0,306,0,26.5,62.01,1.7,8.88,0,0.91,0,822,859.20936178582,24323,4230,20093,17.39,82.61,56101,6929,49172,12.35,87.65,12663,767,11896,6.06,93.94
